step,H_a,H_b,delta_H,topk_a,topk_b,effV_a,effV_b
0,2.145932,1.768841,0.377091,0.886329,0.931881,8.55,5.86
1,2.791693,2.449385,0.342308,0.783930,0.846693,16.31,11.58
2,2.648797,2.654830,-0.006033,0.813591,0.825732,14.14,14.22
3,2.890098,2.084775,0.805323,0.758438,0.897556,18.00,8.04
4,2.542201,2.454912,0.087289,0.819539,0.857233,12.71,11.65
5,2.608541,1.990393,0.618148,0.822291,0.918743,13.58,7.32
6,2.607743,2.148088,0.459654,0.815351,0.899673,13.57,8.57
7,2.517034,2.296068,0.220965,0.831944,0.876134,12.39,9.94
